station_complex,month,borough,ridership,lines
Union St (R),1,Brooklyn,77123,R
Union St (R),2,Brooklyn,71014,R
"Utica Av (A,C)",1,Brooklyn,127569,"A,C"
"Utica Av (A,C)",2,Brooklyn,123661,"A,C"
Van Cortlandt Park-242 St (1),1,Bronx,50715,1
Van Cortlandt Park-242 St (1),2,Bronx,49756,1
Van Siclen Av (3),1,Brooklyn,17147,3
Van Siclen Av (3),2,Brooklyn,16864,3
Van Siclen Av (C),1,Brooklyn,23368,C
Van Siclen Av (C),2,Brooklyn,22293,C
"Van Siclen Av (J,Z)",1,Brooklyn,21121,"J,Z"
"Van Siclen Av (J,Z)",2,Brooklyn,21292,"J,Z"
Vernon Blvd-Jackson Av (7),1,Queens,171257,7
Vernon Blvd-Jackson Av (7),2,Queens,156900,7
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",1,Manhattan,349310,"A,C,E,B,D,F,M"
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",2,Manhattan,343823,"A,C,E,B,D,F,M"
"W 8 St-NY Aquarium (F,Q)",1,Brooklyn,17160,"F,Q"
"W 8 St-NY Aquarium (F,Q)",2,Brooklyn,16025,"F,Q"
WTC Cortlandt (1),1,Manhattan,161163,1
WTC Cortlandt (1),2,Manhattan,145441,1
Wakefield-241 St (2),1,Bronx,28705,2
Wakefield-241 St (2),2,Bronx,28112,2
"Wall St (2,3)",1,Manhattan,199445,"2,3"
"Wall St (2,3)",2,Manhattan,186257,"2,3"
"Wall St (4,5)",1,Manhattan,165785,"4,5"
"Wall St (4,5)",2,Manhattan,153612,"4,5"
"West Farms Sq-E Tremont Av (2,5)",1,Bronx,40046,"2,5"
"West Farms Sq-E Tremont Av (2,5)",2,Bronx,38881,"2,5"
Westchester Sq-E Tremont Av (6),1,Bronx,31636,6
Westchester Sq-E Tremont Av (6),2,Bronx,31527,6
Whitlock Av (6),1,Bronx,13728,6
Whitlock Av (6),2,Bronx,13336,6
Wilson Av (L),1,Brooklyn,39241,L
Wilson Av (L),2,Brooklyn,37918,L
"Winthrop St (2,5)",1,Brooklyn,73138,"2,5"
"Winthrop St (2,5)",2,Brooklyn,70286,"2,5"
"Woodhaven Blvd (J,Z)",1,Queens,38225,"J,Z"
"Woodhaven Blvd (J,Z)",2,Queens,38755,"J,Z"
"Woodhaven Blvd (M,R)",1,Queens,159768,"M,R"
"Woodhaven Blvd (M,R)",2,Queens,149903,"M,R"
Woodlawn (4),1,Bronx,45379,4
Woodlawn (4),2,Bronx,42983,4
York St (F),1,Brooklyn,129542,F
York St (F),2,Brooklyn,119010,F
Zerega Av (6),1,Bronx,19757,6
Zerega Av (6),2,Bronx,18760,6
