,lines,month,ridership,additional_platform_time,additional_train_time,over_five_mins_perc,wait_assessment,service_delivered,terminal_on_time_performance,percent_late,infra_critical,noninfra_critical,infra_noncritical,noninfra_noncritical
125,"F,J,M,Z",1,257565.0,5.134728,0.035523275000000014,0.55310221,1.9544515800000002,2.7359542599999997,2.4849525,0.062695907,9,2,3035,975
126,"F,J,M,Z",2,240687.0,4.815349899999999,0.51553938,0.56664106,2.02834076,2.79904557,2.39581829,0.083742917,7,0,3135,845
127,"F,M",1,274689.0,3.9538130000000002,-0.385323845,0.38339919,1.18671038,1.7709947000000001,1.5920899,0.062695907,9,2,2541,768
128,"F,M",2,251684.0,3.6831399,-0.008372919999999978,0.38579312,1.25725336,1.8179134700000001,1.50812626,0.083742917,6,0,2661,682
129,"F,M,1,2,3,L",1,384972.0,7.69608233,1.869239445,0.806098932,4.049981290000001,5.6166117,4.87807824,0.20483454,16,7,6049,3159
130,"F,M,1,2,3,L",2,363718.0,8.501009400000001,2.39235863,0.82824692,4.0995075100000005,5.650611570000001,4.7293340100000005,0.243468827,12,5,6311,2642
131,"F,Q",1,96648.5,3.4411699000000002,0.5835607,0.38908708999999997,1.13902855,1.74263937,1.4774896,0.112278885,10,2,3140,1079
132,"F,Q",2,91989.0,2.9848539,0.57624338,0.3602255,1.29761996,1.84603453,1.47570056,0.129903977,4,1,2769,854
133,G,1,62727.0,1.2552555,1.2057779,0.20504858,0.7487066,0.9574468,0.71027076,0.110064745,0,0,1711,258
134,G,2,58786.0,1.2109138,1.1783175,0.1937287,0.76995575,0.9585666,0.759375,0.12170139,0,0,1171,215
135,J,1,23986.85714285714,1.180915,0.42084712,0.16970302,0.7677412,0.96495956,0.8928626,0.0,0,0,494,207
136,J,2,23008.714285714286,1.13221,0.5239123,0.18084794,0.7710874,0.9811321,0.88769203,0.0,1,0,474,163
137,"J,N,Q,R,W,Z,6",1,390662.0,7.9224175,2.2504406930000003,0.8904787300000001,3.1189084499999997,4.48717797,4.01885536,0.12971438600000001,11,9,5958,2405
138,"J,N,Q,R,W,Z,6",2,352139.0,7.132320699999999,2.147450734,0.85596431,3.2150779,4.5686881,4.02368188,0.15034963,10,6,5142,1934
139,"J,Z",1,31734.81818181818,1.180915,0.42084712,0.16970302,0.7677412,0.96495956,0.8928626,0.0,0,0,494,207
140,"J,Z",2,30630.18181818182,1.13221,0.5239123,0.18084794,0.7710874,0.9811321,0.88769203,0.0,1,0,474,163
141,L,1,79023.94444444444,1.0199139,0.58160985,0.092469186,0.73559916,0.9748934,0.913029,0.034655116,1,1,688,356
142,L,2,74126.44444444444,1.9549714,0.7327286,0.11752537,0.7111803,0.9626989,0.89330506,0.03501833,1,2,722,384
143,"L,G",1,155243.0,2.2751694000000002,1.78738775,0.297517766,1.48430576,1.9323402,1.62329976,0.144719861,1,1,2399,614
